,title,moreInfo,systems,genres,playModes,themes,series,playerPerspectives,imageLink,memberRating,gameDescription
1379,Last Day of June,https://www.igdb.com/games/last-day-of-june,Eighth Generation,Adventure - Indie,Single player,Drama,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1q7s.jpg,76,"A deep, interactive adventure about love and loss, beautifully depicted and offering an intense cinematic experience. What would you do to save the one you love?"
1380,Late Shift,https://www.igdb.com/games/late-shift,Eighth Generation,Adventure - Indie,Single player,Thriller,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1njk.jpg,52,"Late Shift is a high stakes FMV crime thriller. After being forced into the robbery of a lucrative auction house, mathematics student Matt is left proving his innocence in the brutal London heist. Your choices will have consequences from the very start, right through to the very end. One small decision could change the entire outcome in a choose-your-own-adventure style gameplay that can lead to one of seven conclusions."
1381,Layers of Fear,https://www.igdb.com/games/layers-of-fear,Eighth Generation,Adventure - Indie,Single player,Horror,Layers of Fear,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1nhw.jpg,76,"Layers of Fear is a psychedelic horror that will keep you on-edge for the reminder of the game. Delve deep into the mind of an insane painter and discover the secret of his madness, as you walk through a constantly shifting house.Heavily inspired by the masterpiece paintings from the past centuries, and the architecture and décor from the XIX century. Layers of Fear is a truly unique experience, where each move of the camera can change your surroundings.Layer by layer uncover the visions, fears and horrors that entwine the protagonist and finish the masterpiece he has strived so long to create."
1382,Layers of Fear 2,https://www.igdb.com/games/layers-of-fear-2,Eighth Generation,Adventure - Indie,Single player,Horror - Mystery,Layers of Fear,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2j3p.jpg,64,"Layers of Fear 2 is a first-person psychological horror game with an emphasis on exploration and story. Players control a Hollywood actor who heeds the call of an enigmatic director to take on the lead role in a film shot aboard an ocean liner. Beware, for all may not truly be what it seems."
1383,Leedmees,https://www.igdb.com/games/leedmees,Seventh Generation,Puzzle,Co-operative - Single player,,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co22sb.jpg,65,Players use their body to control an on-screen character to guide small creatures into a safety zone. It is designed for 1 or 2 players. There are 50 single player levels and 12 co-op levels.
1384,Left 4 Dead 2,https://www.igdb.com/games/left-4-dead-2,Seventh Generation,Shooter,Co-operative - Multiplayer - Single player,Action - Horror - Survival,Left 4 Dead,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1y2f.jpg,89,"Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale."
1385,Legacy of Kain: Soul Reaver 2,https://www.igdb.com/games/legacy-of-kain-soul-reaver-2,Sixth Generation,Adventure,Single player,Action - Fantasy - Horror,Legacy of Kain,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1q69.jpg,95,"Soul Reaver 2 picks up where Legacy of Kain: Soul Reaver left off, with Raziel having just plunged through the Chronoplast time portal in his relentless pursuit of Kain. Over the course of his quest for revenge, Raziel must unearth the mysteries of Nosgoth’s ancient races, expose the machinations behind the corruption of the Pillars, and the vampire genocide. Throughout the game, Raziel acquires numerous new abilities, weapon enhancements, and spells, all of which are critical to the completion of his epic adventure.Soul Reaver is a third-person combat adventure filled with devious puzzles and kick-ass combat. Fly, swim, jump, and even travel from the material world to the spectral realm to overcome obstacles and conquer your enemies. With over 40 abilities to choose from, no two fights will ever be the same."
1386,Legend of the Dragon,https://www.igdb.com/games/legend-of-the-dragon,Fifth Generation,Fighting,Single player - Split screen,Action,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/xuhbe4qi8a9y7skogcf9.jpg,30,Legend of the Dragon is a 3D versus fighting game that plays like a 2D versus fighting game. The game is based on the animated series of the same name and resolves around a battle between good and evil. Woo Yin an evil Zodiac Master plans to steel the powers of the twelve guardians of the Chinese Zodiac temples in his goal to rule over China.
1387,Legend of the Skyfish,https://www.igdb.com/games/legend-of-the-skyfish,Eighth Generation,Adventure - Indie - Platform - Puzzle,Single player,Action - Mystery,Skyfish,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co21bj.jpg,55,Legend of the Skyfish is a beautiful level-based adventure puzzler with a unique weapon and tool - a fishing pole!
1388,Legends of Wrestling II,https://www.igdb.com/games/legends-of-wrestling-ii,Fifth Generation,Fighting - Sport,Single player - Split screen,Action,Legends of Wrestling,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/muk7xsizp3u5odpirqy7.jpg,51,"Legends of Wrestling II is the sequel to the professional wrestling video game Legends of Wrestling. It was published by Acclaim Entertainment and released on November 26, 2002 for both the PlayStation 2 and Nintendo GameCube. It was then released later for the Xbox on December 5, 2002. Legends II contains 24 wrestlers that were not in the first game, though also excludes Rob Van Dam, presumably because he had recently been signed to a WWF contract. The game did contain Eddie Guerrero, however, who, although unemployed at the time he signed a likeness deal, re-signed with WWF when the game was released.The PlayStation 2 and Xbox versions included video interviews with many of the legends featured in the game while the European version of the game exclusively included four legends from the United Kingdom: Kendo Nagasaki, Big Daddy, Mick McManus and Giant Haystacks."
1389,LEGO Dimensions,https://www.igdb.com/games/lego-dimensions,Seventh Generation,Adventure - Hack and slash/Beat 'em up - Puzzle,Co-operative - Multiplayer - Single player,Action - Comedy - Kids - Science fiction,LEGO,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1s1u.jpg,77,"For the first time in any LEGO videogame, characters from iconic entertainment franchises join forces and battle in worlds outside of their own. In addition to the game, the LEGO Dimensions Starter Pack will include the LEGO Toy Pad, which allows players to transport special LEGO minifigures and other LEGO objects into the game"
1390,The Lego Movie Videogame,https://www.igdb.com/games/the-lego-movie-videogame,Seventh Generation,Adventure,Co-operative - Multiplayer - Single player,Action - Comedy,The LEGO Movie,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ip3.jpg,64,"Transform the ordinary into the extraordinary and experience the ultimate LEGO building experience in the all new The LEGO® Movie Videogame. Step into the world of Emmet, an ordinary, rules-following, perfectly average citizen who is mistakenly identified as the most extraordinary person and the key to saving the world. Players guide him as he is drafted into a fellowship of strangers on an epic quest to stop an evil tyrant, a journey for which Emmet is hopelessly and hilariously underprepared."
1391,LEGO Ninjago Movie Video Game,https://www.igdb.com/games/lego-ninjago-movie-video-game,Eighth Generation,Adventure - Hack and slash/Beat 'em up - Shooter,Co-operative - Multiplayer - Single player,Action - Comedy,LEGO,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co253j.jpg,73,"Find your inner ninja with the all-new LEGO Ninjago Movie Video Game! Play as your favorite ninjas, Lloyd, Jay, Kai, Cole, Zane, Nya and Master Wu to defend Ninjago City from the evil Lord Garmadon and his Shark Army. Master the art of Ninja-gility by wall-running, high-jumping and battling the foes of Ninjago to rank up and upgrade the ninja’s combat skills. Only in the LEGO Ninjago Movie Video Game will you experience the film across 8 action packed locations each with its own unique Challenge Dojo. And with the Battle Maps, play against friends and family in competitions for up to four players!"
1392,LEGO Star Wars: The Force Awakens,https://www.igdb.com/games/lego-star-wars-the-force-awakens,Seventh Generation,Adventure - Hack and slash/Beat 'em up - Puzzle,Co-operative - Multiplayer - Single player - Split screen,Action - Comedy - Science fiction,Lego Star Wars,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wnc.jpg,76,"LEGO Star Wars: The Force Awakens takes players deeper into the new film than any other game with all of the heroic characters from the movie, including Rey, Finn, Poe Dameron, Han Solo, Chewbacca, C-3PO, and BB-8, as well as Kylo Ren, General Hux and Captain Phasma, while also exploring iconic Star Wars locales, such as Jakku and Starkiller Base.This game introduces new gameplay features, including the enhanced “Multi-Builds” system, where players can choose from multiple building options to advance the game. Gamers will be able to engage in intense new Blaster Battles for the first time, utilizing surrounding environments to drive back the First Order. Fans can also experience the thrill of high-speed flight gameplay through arena-based battles and dogfights in space, while utilizing a multitude of vehicles along the way, including the legendary Millennium Falcon."
